city,state,country,latitude,longitude,population,msa,cluster,pred-MSA
champaign,illinois,united states,40.11642,-88.24338,86096,Champaign-Urbana IL MSA,4754,champaign illinois msa
milton keynes,england,united kingdom,52.04172,-0.75583,229941,,18,london-manchester-birstall england-manchester-leicester msa
colombo,western,sri lanka,6.93548,79.84868,648034,,451,colombo-dehiwala mount lavinia-maharagama western msa
merida,yucatan,mexico,20.97537,-89.61696,777615,,7628,merida yucatan msa
cerkezkoy,tekirdag,turkey,41.28629,27.99939,84234,,7629,cerkezkoy tekirdag msa
marlborough,massachusetts,united states,42.34593,-71.55229,39818,Boston-Cambridge-Quincy MA-NH MSA,79,boston-south boston-worcester massachusetts msa
pitesti,arges,romania,44.85,24.86667,167669,,7630,pitesti arges msa
west hempstead,new york,united states,40.70482,-73.65013,18862,New York-Northern New Jersey-Long Island NY-NJ-PA MSA,0,new york city-brooklyn-queens new york msa
northampton,england,united kingdom,52.25,-0.88333,215963,,18,london-manchester-birstall england-manchester-leicester msa
augsburg,bavaria,germany,48.37154,10.89851,259196,,534,augsburg bavaria msa
knoxville,tennessee,united states,35.96064,-83.92074,185291,Knoxville TN MSA,7631,knoxville tennessee msa
dublin,leinster,ireland,53.33306,-6.24889,1024027,,77,dublin-tallaght leinster msa
fort myers,florida,united states,26.62168,-81.84059,74013,Cape Coral-Fort Myers FL MSA,344,cape coral-fort myers-bonita springs florida msa
tehran,tehran,iran,35.69439,51.42151,7153309,,7633,tehran tehran msa
vladivostok,primorskiy maritime kray,russia,43.10562,131.87353,587022,,7634,vladivostok primorskiy maritime kray msa
tunja,boyaca,colombia,5.53528,-73.36778,117479,,3085,tunja boyaca msa
merida,merida,venezuela,8.58972,-71.15611,300000,,7635,merida merida msa
brookline,massachusetts,united states,42.33176,-71.12116,58732,Boston-Cambridge-Quincy MA-NH MSA,79,boston-south boston-worcester massachusetts msa
kansas city,kansas,united states,39.11417,-94.62746,151306,Kansas City MO-KS MSA,1070,kansas city-overland park-kansas city missouri-kansas msa
nova friburgo,rio de janeiro,brazil,-22.28194,-42.53111,153361,,7480,rio de janeiro-nova friburgo rio de janeiro msa
muskego,wisconsin,united states,42.90585,-88.13898,24755,Milwaukee-Waukesha-West Allis WI MSA,295,chicago-milwaukee-aurora illinois-wisconsin msa
asheville,north carolina,united states,35.60095,-82.55402,88512,Asheville NC MSA,384,asheville north carolina msa
ames,iowa,united states,42.03471,-93.61994,65060,Ames IA MSA,7636,ames iowa msa
schiphol rijk,north holland,netherlands,52.28446,4.75838,30,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
tlalnepantla,mexico,mexico,19.54005,-99.19538,653410,,376,estado de mexico-mexico city-iztapalapa mexico-mexico city msa
winter park,florida,united states,28.6,-81.33924,29943,Orlando-Kissimmee FL MSA,1412,orlando-deltona-kissimmee florida msa
eastbourne,england,united kingdom,50.76871,0.28453,118219,,18,london-manchester-birstall england-manchester-leicester msa
petaling jaya,selangor,malaysia,3.10726,101.60671,520698,,1777,kuala lumpur-klang-subang jaya kuala lumpur-selangor msa
placentia,california,united states,33.87224,-117.87034,52495,Los Angeles-Long Beach-Santa Ana CA MSA,133,los angeles-long beach-anaheim california msa
oshawa,ontario,canada,43.90012,-78.84957,166000,,23,toronto-markham-vaughan ontario msa
framingham,massachusetts,united states,42.27926,-71.41617,68318,Boston-Cambridge-Quincy MA-NH MSA,79,boston-south boston-worcester massachusetts msa
chapeco,santa catarina,brazil,-27.09639,-52.61833,160157,,7637,chapeco santa catarina msa
bilaspur,chhattisgarh,india,22.08005,82.15543,282705,,7638,bilaspur chhattisgarh msa
ancona,the marches,italy,43.5942,13.50337,89994,,619,ancona the marches msa
san rafael,california,united states,37.97353,-122.53109,59162,San Francisco-Oakland-Fremont CA MSA,264,san jose-san francisco-oakland california msa
tabriz,east azerbaijan,iran,38.08,46.2919,1424641,,7639,tabriz east azerbaijan msa
redwood city,california,united states,37.48522,-122.23635,85288,San Francisco-Oakland-Fremont CA MSA,264,san jose-san francisco-oakland california msa
cuddapah,andhra pradesh,india,14.47995,78.82346,127010,,7640,cuddapah andhra pradesh msa
den bosch,noord brabant,netherlands,51.5857,6.0201,0,,3,cologne-brussels-koln north rhine westphalia-brussels capital msa
metairie,louisiana,united states,29.98409,-90.15285,138481,New Orleans-Metairie-Kenner LA MSA,193,new orleans-metairie-kenner louisiana msa
serra,espirito santo,brazil,-20.12861,-40.30778,394153,,7641,serra espirito santo msa
