city,state,country,latitude,longitude,population
alestrup,north denmark,denmark,56.6947,9.49336,2740
fargelanda,vastra gotaland,sweden,58.56816,11.99235,1986
bridgeport,pennsylvania,united states,40.10511,-75.34518,4564
oksbøl,south denmark,denmark,55.6268,8.28757,2818
denali national park,alaska,united states,63.54078,-151.72361,217
pepperdine university,california,united states,34.0423,-118.7092,0
tikrit,salah ad din,iraq,34.61581,43.67861,42477
perisher valley,new south wales,australia,-36.4147,148.3825,0
casirate d adda,lombardy,italy,45.49535,9.56932,3543
jefferson,ohio,united states,41.73867,-80.76981,3041
hewlett,new york,united states,40.64316,-73.69569,6819
bellbrook,ohio,united states,39.63562,-84.07077,7053
rathmines,new south wales,australia,-33.03773,151.58443,1836
vinderup,central jutland,denmark,56.48176,8.77991,3095
ørsta,møre og romsdal,norway,62.19983,6.12904,6337
lalin,galicia,spain,42.66085,-8.11285,20158
union gap,washington,united states,46.55735,-120.47506,6037
avintes,porto,portugal,41.10711,-8.55131,11577
alden,new york,united states,42.90006,-78.49197,2589
appomattox,virginia,united states,37.35709,-78.82529,1759
upper merion,pennsylvania,united states,40.0902,-75.3791,30260
gits,flanders,belgium,50.99687,3.09564,4127
cassa de la selva,catalonia,spain,41.88784,2.87524,8504
machynlleth,wales,united kingdom,52.58965,-3.85308,2235
sparta,north carolina,united states,36.50541,-81.12092,1726
cherepovets,vologda,russia,59.13333,37.9,315738
olyphant,pennsylvania,united states,41.46841,-75.60297,5111
middle village,new york,united states,40.71649,-73.88125,29491
bruino,piedmont,italy,45.01506,7.47754,8070
maracana,para,brazil,-0.76614,-47.45371,12682
saint denis de cabanne,auvergne rhone alpes,france,46.17249,4.21447,1323
versoix,geneva,switzerland,46.28382,6.16214,11467
thillois,grand est,france,49.25619,3.95404,231
lasalle,illinois,united states,41.3575,-89.0718,8986
oroszlany,komarom esztergom,hungary,47.48671,18.31225,20271
center city,pennsylvania,united states,39.9512,-75.15923,57239
laxenburg,lower austria,austria,48.06833,16.35607,2828
jasola,jammu and kashmir,india,33.0779,75.7086,0
plouguerneau,brittany,france,48.60676,-4.50638,5883
alto araguaia,mato grosso,brazil,-17.31472,-53.21528,8780
volterra,tuscany,italy,43.40251,10.86152,6864
munkedal,vastra gotaland,sweden,58.46634,11.67345,3910
canadian,texas,united states,35.91282,-100.38208,3013
castiglione della pescaia,tuscany,italy,42.76854,10.87746,3860
san carlos,nuble,chile,-36.42477,-71.958,31517
aldgate,south australia,australia,-35.01667,138.73333,3276
gwinner,north dakota,united states,46.2258,-97.6626,834
vinkel,north brabant,netherlands,51.70583,5.4625,60
florida gulf coast university,florida,united states,26.4613,-81.7687,0
cario,michoacan,mexico,19.3675,-102.04639,11
east hills,new york,united states,40.79371,-73.62707,7155
modimolle,limpopo,south africa,-24.7,28.4,20527
kallby,vastra gotaland,sweden,58.50999,13.30582,1737
pilas,andalusia,spain,37.30337,-6.30097,13386
akarp,skane,sweden,55.65396,13.11107,5959
indianola,pennsylvania,united states,40.5695,-79.8637,0
llanes,asturias,spain,43.41982,-4.75485,14013
